,Location,Item_Name,BidPrice,ID,BuyNowPricee
164,Auckland,Microsoft Lumia 950 * Windows 10 * 20MP Pureview Camera * Worldwide Unlocked,BuyNowOnly,1357092030,$419.00
166,Auckland,Samsung Galaxy On5 * Android 6.0 * Worldwide Unlocked *,BuyNowOnly,1357091669,$179.00
167,Auckland,Samsung Galaxy S6 G920 32GB Chiron Black Brand NEW,$549.00,1351499474,$549.00
168,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1355425770,$299.00
169,Auckland,Motorola Moto G4 Play 16GB 2GB * Free Courier!!,BuyNowOnly,1357109489,$269.00
171,Canterbury,Fitness Tracker Smart Bluetooth Watch Pedometer - 1 Year Warranty,BuyNowOnly,1353278816,$44.90
172,Auckland,Activity Tracker Watch Bluetooth 4 Camera SMS etc - ULTRA FAST SHIPPING,BuyNowOnly,1353281048,$39.95
173,Auckland,Samsung Galaxy S4 Brand New 4G i9505 White 1 year warranty,BuyNowOnly,1353934828,$289.00
174,Auckland,Samsung Galaxy S4 Brand New 4G i9505 Black 1 year warranty,BuyNowOnly,1353934955,$289.00
175,Auckland,Samsung Galaxy s3 i9300 * Ask For Your Part *,$5.00,1353286329,$5.00
176,Auckland,Vodafone Smart 4 Turbo NZ!! Unlocked!! BRAND NEW!!,$85.00,1353290771,$85.00
178,Auckland,SonyXperia M Smartphone NZ NEW + Warranty + FREE SHIPPING / PICK UP AVAILABLE,$159.00,1353298283,$159.98
179,Auckland,Samsung Galaxy S5 4G G900F Black Brand New 1 Year Warranty,BuyNowOnly,1353935462,$399.00
180,Auckland,Samsung Galaxy S5 4G G900F White Brand New 1 Year Warranty,BuyNowOnly,1353935579,$399.00
182,Auckland,Huawei Y320 Ascend Black NZ NEW Phone #,$59.00,1355640022,$59.00
183,Australia,128GB Flash Drive for iPhone iPad Android 3 in 1,BuyNowOnly,1353315839,$38.00
184,Auckland,For Samsung Galaxy Gear S Smart Watch R750 Charger,$11.00,1356373053,$13.65
185,Auckland,Sony Xperia Z Brand New 1 Year Warranty,BuyNowOnly,1353936020,$229.00
186,Auckland,iPhone 6s Plus,$939.00,1354683776,$969.00
187,Auckland,Dual-Port Power Bank 8000mAh Solar Panel Charger - Black,$24.85,1353320226,$24.85
188,Auckland,Sony Xperia XA Smartphone - Black,$479.00,1353233695,$479.00
189,Auckland,Vodafone Smart mini 7 - Black,$68.00,1353233804,$68.00
190,Auckland,Huawei Y5II Smartphone - Gold,$199.95,1353233624,$199.95
191,Auckland,iPhone 7,"$1,149",1353955735,"$1,199"
192,Auckland,Samsung S7 Black 34 GB,$450.00,1356205931,$450.00
193,Auckland,Huawei Y3 II Smartphone White,$129.00,1353233839,$129.00
194,Auckland,Huawei P10 Lite Black - NZ New,$494.00,1353233754,$494.00
195,Auckland,iPhone 7 32 GB Gold,$101.00,1353340379,"$1,000"
196,Waikato,Android Smartphone - Quad Core-BLUE,BuyNowOnly,1353341775,$139.99
197,Auckland,iPhone 7,"$1,149",1353961816,"$1,199"
198,Auckland,iPhone 7,"$1,079",1357720036,"$1,099"
199,Canterbury,Samsung Galaxy S4 i9500 Replacement Battery,$10.44,1354185266,$10.44
200,Auckland,"AGM X1 5.5"" Octa Core 4GB 64GB 4G Smartphone Fingerprint Waterproof Shockproof",BuyNowOnly,1353355380,$649.00
201,Auckland,"AGM X1 5.5"" Octa Core 4GB 64GB 4G Smartphone Fingerprint Waterproof Shockproof",BuyNowOnly,1353358946,$649.00
202,Auckland,"AGM X1 5.5"" Octa Core 4GB 64GB 4G Smartphone Fingerprint Waterproof Shockproof",BuyNowOnly,1353361202,$649.00
203,Auckland,Brand New Samsung S7 G930F 32GB in Devil Black,$709.00,1357721791,$709.00
204,Auckland,OnePlus 3T 128GB Midnight Black Limited Edition,$819.00,1355486502,$819.00
206,Wellington,1M iPhone 5/6/7 iPod Touch 5/6 iPad Colour Flat x10 CABLES,$30.00,1353386344,$30.00
207,Wellington,1M iPhone 5/6/7 iPod Touch 5/6 Nano iPad Colour Flat Cable,BuyNowOnly,1353386125,$2.49
208,Wellington,iPhone 5/6/7 Charger Cable 2M iPod Touch 5/6 iPod Nano 7 Flat,BuyNowOnly,1353386375,$4.90
209,Auckland,Brand New iphone 6S Plus Space Grey 128GB,BuyNowOnly,1353974373,"$1,099"
210,Auckland,iPhone 6s,$749.00,1353988889,$759.00
211,Auckland,"AGM A8 5"" Quad Core 3GB 32GB 4G Smartphone Dustproof Waterproof Shockproof",BuyNowOnly,1353384793,$349.00
212,Auckland,"AGM A8 5"" Quad Core 4GB 64GB 4G Smartphone Dustproof Waterproof Shockproof",BuyNowOnly,1353388135,$449.00
213,Canterbury,"Samsung Galaxy Tab A SM-T285 Tablet 4G (7"") 1.50GB Quad-core 8 GB Android 5.1",$325.00,1353397132,$325.00
214,Auckland,"AGM A1Q 5"" Quad Core 4GB 64GB 4G Smartphone Dustproof Waterproof Shockproof",BuyNowOnly,1353398360,$439.00
215,Auckland,Brand New Samsung S7 G930F 32GB in Dubai Gold,$709.00,1355507723,$709.00
216,Auckland,iPhone 7 Plus • 256GB • Black • Unopened • Bargain !,"$1,450",1357529720,"$1,450"
217,Otago,OPPO F3 smart phone,$699.00,1353398644,$750.00
218,Auckland,AGM A2 Quad Core 2GB 16GB 4G Smartphone Dustproof Waterproof Shockproof,BuyNowOnly,1353408144,$299.00
220,Auckland,Onix Dual Sim Big Button Flip Used Phone #,$79.00,1355718682,$79.00
221,Auckland,Brand New Samsung S7 Edge G935F 32GB in MoET Gold,$799.00,1355563448,$799.00
222,Auckland,Samsung Galaxy S6 G920 32GB Monoco White Brand NEW,$549.00,1355580616,$549.00
223,Auckland,New Nokia 6085 ( Black ) - Vodafone &amp; 2 Degrees,$115.00,1353431668,$119.00
224,Auckland,B6000 Octa Core 4GB 64GB 4G Smartphone Fingerprint Waterproof Shockproof,BuyNowOnly,1353433947,$599.00
225,Auckland,ZOJI Z6 Rugged 3G Smart Phone Thinnest IP67 Waterproof fingerprint Shockproof,BuyNowOnly,1353444156,$249.00
226,Auckland,Sony Xperia X F5121 Brand New Sealed NZ Stock Black!!!!,BuyNowOnly,1357241183,$499.00
227,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1357840382,$799.00
228,Wellington,iPhone 7 Plus red Limited Edition - Never Used,"$1,450",1356839042,"$1,525"
229,Auckland,Vodafone Smart Turbo 7 Dark Grey !! Unlocked !! Brand New !!,$95.00,1353445885,$95.00
230,Auckland,Samsung Galaxy A3 Camera Lens Cover,BuyNowOnly,1353450642,$2.49
231,Auckland,Huawei Y320 Ascend White NZ NEW Phone #,$59.00,1353455676,$59.00
232,Auckland,Xiaocai A600 Elders Old Age People Mobile Phone 2G GPS SOS Big Keys Dual Sim,BuyNowOnly,1353464588,$99.00
233,Canterbury,W6 Rugged Smart Phone - Android 5.1 - Dual Sim,BuyNowOnly,1351698108,$259.00
234,Auckland,Samsung Galaxy S6 G920 32GB Champagne Gold Brand NEW,$549.00,1355620077,$549.00
235,Auckland,Xiaocai A600 Elders Old Age People Mobile Phone 2G GPS SOS Big Keys Dual Sim,BuyNowOnly,1353466358,$99.00
236,Auckland,Xiaocai A600 Elders Old Age People Mobile Phone 2G GPS SOS Big Keys Dual Sim,BuyNowOnly,1353466680,$99.00
237,Auckland,"S8 1.54"" Pocket Small Mobile Phone 2G Low Radiation Bluetooth phone",BuyNowOnly,1353482581,$149.00
238,Auckland,Brand New Vodafone Usb K4201 In Box,$12.99,1353500700,$12.99
240,Auckland,Iphone 6 16Gb Iphone6 16GB Grey - Brand New!,$569.00,1357896619,$569.00
241,Auckland,Brand New Vodafone Usb K4201 In Box,$12.99,1353500701,$12.99
242,Auckland,Brand New Vodafone Usb K4201 In Box,$12.99,1353500705,$12.99
243,Auckland,LG C310 R.Black!! Dual Sim!! BRAND NEW,$59.00,1353542206,$59.00
244,Auckland,20m CCTV cables with BNC connector for Camera,$10.50,1353560583,$10.90
245,Auckland,MOBILE PHONE Socket Rings BULK -32,$1.00,1354274120,$35.00
246,Auckland,Brand New Samsung S7 G930F 32GB in Dubai Gold,$709.00,1352078025,$709.00
247,Canterbury,iPhone 4S Battery Replacement,$14.59,1357331066,$14.72
248,Auckland,Vodafone VFD300 Smart Mini 7 White Unlocked Phone#,$67.00,1357343466,$67.00
250,Auckland,HTC Desire C A320B Black Android Smartphone #,$88.00,1353602707,BidOnly
251,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1352078027,BidOnly
252,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1352084058,BidOnly
253,Wellington,"5"" Quad Core Android Smartphone",BuyNowOnly,1353663512,$80.00
254,Auckland,Watch Mobile Ultra-thin Java Sliding Menu TW530,$99.99,1353666377,BidOnly
257,Auckland,Samsung Galaxy S6 G920 32GB Monoco White Brand NEW,$549.00,1352084057,BidOnly
258,Auckland,OnePlus 3T 64GB Brand New + 1 Year Warranty,$699.00,1352092285,BidOnly
259,Otago,Spark Lite Mobile phone,$85.00,1353687287,BidOnly
260,Auckland,Huawei P9 Grey NZ NEW SEALED Phone #,$689.00,1355936087,BidOnly
261,Auckland,Blackberry 0168,BuyNowOnly,1353699721,$70.00
262,Auckland,Fitness Tracker Smart Bluetooth Watch Pedometer,$44.90,1353706584,BidOnly
263,Waikato,Iphone 7 Plus 256gb,"$1,400",1354495476,BidOnly
264,Auckland,OnePlus 3T 64GB Brand New + 1 Year Warranty,$699.00,1358242423,BidOnly
265,Auckland,Samsung J120ZN Galaxy J1 2016 White Unlocked Phone #,$168.00,1357449848,BidOnly
266,Auckland,"Apple iPhone 5s 16 GB Silver, brand new!",$469.99,1357469488,BidOnly
267,Waikato,Smart Watch for Phone,BuyNowOnly,1356695809,$40.00
268,Auckland,Huawei Y330 Ascend Black NZ NEW UNLOCKED Phone #,$69.00,1353744662,BidOnly
269,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1358242419,BidOnly
270,Auckland,Samsung Galaxy S6 G920 32GB Champagne Gold Brand NEW,$549.00,1352106269,BidOnly
271,Auckland,ZTE F320 Black !! Vodafone / 2Dgree !! BRAND NEW!!,$29.00,1353745015,BidOnly
274,Auckland,Vodafone ZTE F320 Brand New Full NZ New Warranty,$29.00,1353757625,BidOnly
275,Auckland,Brand New Samsung S7 Edge G935F 32GB in MoET Gold,$799.00,1352112389,BidOnly
276,Auckland,OnePlus 3T 128GB Midnight Black Limited Edition,$819.00,1358284859,BidOnly
277,Hawke's Bay,Mobikik XS-1 Flip Phone,BuyNowOnly,1353764258,$99.90
278,Auckland,Nokia Asha 200 Dual Sim Graphite!! BRAND NEW,$79.00,1353764877,BidOnly
279,Auckland,Samsung Galaxy A3,$389.00,1353765297,BidOnly
281,Auckland,iPhone 6,$549.00,1354547767,BidOnly
282,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1352172082,BidOnly
284,Northland,Huawei P8 lite 16GB Black NZ NEW UNLOCKED Phone #,$443.43,1353766876,BidOnly
285,Waikato,Vodafone Smart Mini 7 New,$40.00,1353775203,BidOnly
286,Auckland,ZTE Blade A462 White UNLOCKED NZ NEW Phone #,$139.00,1353779407,BidOnly
287,Auckland,Samsung Galaxy S6 G920 32GB Monoco White Brand NEW,$549.00,1356069806,BidOnly
288,Auckland,"Apple iPhone 6 ""As new"" Condition 128GB Sliver Original Accessories",BuyNowOnly,1354645151,$595.00
289,Auckland,Bluetooth Gamepad Black,BuyNowOnly,1353781014,$5.21
290,Wellington,Samsung J3,"$3,000",1356023684,BidOnly
291,Auckland,Nokia Lumia 635 Black NZ NEW Unlocked Phone #,$125.00,1356035170,BidOnly
292,Auckland,Samsung Galaxy J1 2016 SM-J120ZN White Brand New!!,$159.00,1353812620,BidOnly
294,Auckland,Brand new Huawei P10,$750.00,1354721548,BidOnly
295,Auckland,Olitech Easy Mate+ Easy To Use Mobile Phone For Elderly People,$49.95,1353814060,BidOnly
296,Auckland,"Huawei AscendY201 Android4.0 IceCream 3.5""Blutooth",$195.00,1353815341,BidOnly
297,Auckland,Huawei SCL-L02 Y6 Black Unlocked NZ NEW Phone #,$139.00,1354566738,BidOnly
298,Auckland,Vodafone Smart II Android Wifi GPS Bluetooth NEW BOXED,$49.99,1353827075,BidOnly
299,Auckland,Mint Condition Sony Z2 D6503+6mth warty 3 colors,$299.00,1356238834,BidOnly
300,Auckland,OnePlus 3T 128GB Midnight Black Limited Edition,$819.00,1356299785,$819.00
301,Auckland,Sony Xperia XA Black BRAND NEW!! Unlocked !! NZ Stock!!,$339.00,1353832461,$339.00
302,Auckland,Brand New Huawei Y3 II LUA-L02 Black NZ PHONE,$129.00,1353854411,$129.00
303,Wanganui,1 Pair Soft Silicone Earplugs Earbuds Cover For Apple iPhone,BuyNowOnly,1353858085,$4.50
304,Bay of Plenty,"10.1"" 32GB Android 5.1 Octa Core Tablet Phone GPS",$198.00,1357597052,$198.00
305,Canterbury,W6 Rugged Smart Phone - Android 5.1 - Dual Sim,BuyNowOnly,1352436840,$259.00
306,Auckland,Samsung Galaxy S7 Edge G935F 32GB Ceramic White Brand NEW,$799.00,1352461396,$799.00
307,Auckland,Apple iPhone 6s Plus 128GB Space Grey Brand New,"$1,499",1353859779,"$1,499"
308,Auckland,"Brand New IPHONE7 PLUS ,Black,128Gb!","$1,400",1353862819,"$1,400"
309,Auckland,LG L5 Unlocked Android Smart Phone in Box + FREE SHIPPING,$89.90,1353869212,$89.98
310,Auckland,Vodafone VFD700 Smart Ultra 7 Unlocked Phone #,$289.00,1353875407,$289.00
311,Canterbury,Geotel A1 Rugged Smart Phone - Android 7.0,BuyNowOnly,1352528237,$169.00
312,Auckland,iPhone 7 128GB - Brand New,$955.00,1352495812,BidOnly
313,Auckland,Samsung J120ZN Galaxy J1 2016 Gold Unlocked Phone #,$168.00,1357617213,$168.00
314,Auckland,Samsung J120ZN Galaxy J1 2016 Black Unlocked Phone #,$168.00,1357617217,$168.00
315,Auckland,Samsung Galaxy J2 Prime Gold NZ NEW UNLOCKED Phone #,$235.00,1357617219,$235.00
316,Auckland,Huawei Y5 II CUN-L02 Gold Unlocked Phone #,$169.00,1353880705,$169.00
317,Waikato,Samsung S8 Plus 64GB - Unused,"$1,150",1357867669,"$1,250"
318,Canterbury,Samsung Galaxy S7 Black,$461.00,1354747778,BidOnly
319,Auckland,Blackberry Curve 9300 New,$35.00,1353881909,BidOnly
320,Auckland,Huawei Y6 Elite LYO-L02 Unlocked Black Phone #,$149.00,1357623713,$149.00
321,Auckland,Apple iPhone 7 Plus 32GB Gold,BuyNowOnly,1353887725,"$1,309"
322,Auckland,Samsung Galaxy A7 (2017) A720F Dual Sim 4G 32GB Gold,$666.00,1353887755,$671.00
323,Wellington,Homtom HT20 Smartphone Android 6.0 MT6737 Quad Core WHITE,$183.00,1354881604,$197.00
324,Auckland,Sony Z5 Xperia Premium E6853 Brand New + 1 Year Warranty,$639.00,1356389289,$639.00
325,Auckland,Samsung Galaxy J5 Prime Dual Sim G570FD 4G 16GB Gold,$365.00,1353887829,$370.00
326,Auckland,Brand New Vodafone Smart first 7 VFD-200 Black,$69.00,1353890608,$69.00
